ticker,name,buy_date,sell_date,hold_days,quantity,buy_price,sell_price,net_pnl,gross_return,buy_conclusion_label,buy_watching_action,buy_holding_action,buy_structure_score,buy_trigger_state,buy_opportunity_type,buy_entry_probability,buy_entry_zone,buy_risk_score,buy_p_continue_10d,buy_p_fail_5d,buy_p_acceptance_1d,buy_p_fail_fast_3d,buy_breakout_quality,buy_volume_state,buy_volume_pattern,buy_position_state,buy_trend_truth_score,buy_readiness_score,buy_relative_strength_label,buy_rank_score,buy_target_weight,sell_conclusion_label,sell_watching_action,sell_holding_action,sell_structure_score,sell_trigger_state,sell_opportunity_type,sell_entry_probability,sell_entry_zone,sell_risk_score,sell_p_continue_10d,sell_p_fail_5d,sell_p_acceptance_1d,sell_p_fail_fast_3d,sell_breakout_quality,sell_volume_state,sell_volume_pattern,sell_position_state,sell_trend_truth_score,sell_readiness_score,sell_relative_strength_label,sell_rank_score,sell_target_weight,is_loss,buy_full_positive,buy_strong_positive,sell_still_positive,sell_became_defensive,new_trigger_filter,mismatch_type
000818.SZ,航锦科技,2025-02-21,2025-02-26,5,100,40.82,31.54,-928.0,-0.2273,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.4416,watch,72,0.0309,0.8751,0.0318,0.8963,suspicious,expand,neutral,rising,100.0,75.94473247341506,显著强于基准,-70.288,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.8821,ready,75,0.6882,0.3234,0.4133,0.1772,suspicious,neutral,neutral,rising,100.0,69.56914495894843,与基准大体同步,2.8265,0.0,True,True,False,True,False,True,system_stayed_positive_but_loss
002085.SZ,万丰奥威,2025-02-25,2025-02-26,1,200,20.87,20.94,14.0,0.0034,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.3663,avoid,68,0.0916,0.9724,0.049,0.9456,valid,expand,neutral,rising,66.17441199968385,58.39644117876581,显著强于基准,-71.4205,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.401,watch,68,0.3423,0.8086,0.0361,0.8964,suspicious,neutral,gentle_expand,high_zone,77.77357325755771,60.473159032301524,显著强于基准,-61.893,0.0,False,False,False,True,False,True,other
600100.SH,同方股份,2025-02-25,2025-02-26,1,500,9.25,9.18,-35.0,-0.0076,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.4542,watch,64,0.0156,0.9449,0.0479,0.8678,valid,expand,impulsive_spike,rising,74.53900015234645,69.3820241689374,显著强于基准,-60.317,0.0,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.6397,candidate,65,0.0735,0.8075,0.0602,0.6754,valid,neutral,neutral,rising,89.35170807453417,68.93827366710656,显著强于基准,-40.2675,0.0,True,False,False,False,True,True,other
601231.SH,环旭电子,2025-02-26,2025-02-27,1,200,19.55,19.26,-58.0,-0.0148,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.5439,watch,58,0.0308,0.9838,0.036,0.937,suspicious,contract,neutral,rising,87.25225725878259,61.458916092166604,显著强于基准,-54.1285,0.0,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.5549,candidate,57,0.3583,0.9121,0.1459,0.5077,suspicious,contract,neutral,rising,86.38716521398078,62.317761551197414,显著强于基准,-20.3255,0.0,True,False,False,False,True,True,other
601777.SH,千里科技,2025-02-26,2025-02-27,1,400,9.91,10.24,132.0,0.0333,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.5354,watch,74,0.0343,0.9505,0.0181,0.9704,suspicious,neutral,neutral,rising,100.0,67.7735969764122,显著强于基准,-72.445,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.4849,watch,74,0.015,0.9246,0.0505,0.6567,suspicious,neutral,gentle_expand,high_zone,100.0,69.92589913390631,显著强于基准,-56.2815,0.0,False,False,False,True,False,True,other
603659.SH,璞泰来,2025-02-27,2025-02-28,1,200,17.44,17.29,-30.0,-0.0086,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.3872,avoid,57,0.8454,0.0582,0.1055,0.0421,valid,expand,neutral,rising,71.31015602350897,59.848088787163206,显著强于基准,9.806,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.3739,avoid,58,0.3878,0.0181,0.865,0.0521,suspicious,neutral,neutral,rising,72.14561786407046,55.156478348376154,显著强于基准,-1.5445,0.0,True,False,False,True,False,True,other
000887.SZ,中鼎股份,2025-02-26,2025-02-28,2,100,24.32,20.61,-292.0,-0.1525,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.3583,avoid,60,0.0517,0.956,0.016,0.9402,valid,expand,gentle_expand,high_zone,100.0,79.54800151290947,显著强于基准,-64.2545,0.0,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.5091,watch,67,0.4798,0.2805,0.4806,0.5196,suspicious,neutral,neutral,rising,100.0,66.652372627207,显著强于基准,-30.6705,0.0,True,False,False,False,True,True,other
000887.SZ,中鼎股份,2025-02-27,2025-02-28,1,100,22.74,20.61,-292.0,-0.0937,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.5545,candidate,63,0.0138,0.9435,0.0405,0.9369,valid,expand,neutral,rising,100.0,70.5129972772653,显著强于基准,-58.9855,0.0,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.5091,watch,67,0.4798,0.2805,0.4806,0.5196,suspicious,neutral,neutral,rising,100.0,66.652372627207,显著强于基准,-30.6705,0.0,True,False,False,False,True,True,other
000932.SZ,华菱钢铁,2025-02-27,2025-03-03,4,900,4.97,4.93,-36.0,-0.008,defense_first,stand_aside,exit_on_invalidation,100,exhausted,reject,0.2599,avoid,63,0.8567,0.125,0.0216,0.0988,valid,expand,gentle_expand,high_zone,51.250100269505964,49.949433743873335,显著强于基准,-5.0985,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.3186,avoid,63,0.4899,0.039,0.113,0.0412,suspicious,neutral,gentle_expand,high_zone,76.60190608487171,57.630587982252116,显著强于基准,-6.337,0.0,True,False,False,True,False,True,other
002273.SZ,水晶光电,2025-02-27,2025-03-03,4,100,27.23,24.52,-271.0,-0.0995,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.4643,watch,64,0.0357,0.9551,0.0171,0.9206,suspicious,neutral,gentle_expand,high_zone,90.41530838771895,67.88755849026448,显著强于基准,-62.6285,0.0,defense_first,stand_aside,exit_on_invalidation,77,watch,reject,0.4792,watch,72,0.286,0.3017,0.2446,0.7131,invalid,contract,neutral,rising,73.67115888866431,56.569383557378956,与基准大体同步,-60.552,0.0,True,True,False,False,True,True,buy_looked_good_then_broke
002709.SZ,天赐材料,2025-02-28,2025-03-03,3,200,21.03,21.91,176.0,0.0418,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.3148,avoid,66,0.1353,0.0077,0.9187,0.0486,suspicious,expand,neutral,rising,68.15812791441176,56.16462645392168,显著强于基准,-17.044,0.0,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.3514,avoid,67,0.1547,0.497,0.1051,0.2425,valid,expand,gentle_expand,high_zone,76.84176661662205,64.67247260919868,显著强于基准,-27.643,0.0,False,True,False,False,True,True,other
002195.SZ,岩山科技,2025-03-07,2025-03-10,3,700,6.44,6.34,-70.0,-0.0155,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.3921,avoid,63,0.0405,0.1045,0.0177,0.1559,suspicious,expand,neutral,rising,87.28368600966866,70.68709562792867,显著强于基准,-18.8995,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.4791,watch,61,0.1509,0.4931,0.3475,0.2709,suspicious,expand,neutral,rising,96.43497246172261,69.47793030596951,显著强于基准,-17.6765,0.0,True,True,False,True,False,True,system_stayed_positive_but_loss
300765.SZ,新诺威,2025-03-07,2025-03-11,4,100,38.78,37.35,-143.0,-0.0369,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.6144,candidate,75,0.0133,0.9806,0.0073,0.9652,suspicious,contract,neutral,high_zone,100.0,67.28451879457799,显著强于基准,-69.998,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.7833,ready,63,0.6871,0.5577,0.6163,0.1407,valid,neutral,neutral,rising,100.0,68.79294952506979,略强于基准,12.5485,0.0,True,False,False,True,False,True,other
000807.SZ,云铝股份,2025-03-07,2025-03-11,4,200,18.58,17.99,-118.0,-0.0318,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.3776,avoid,59,0.0459,0.0208,0.0305,0.1462,suspicious,neutral,gentle_expand,high_zone,79.14317193775321,61.208488185589204,显著强于基准,-14.862,0.0,defense_first,stand_aside,exit_on_invalidation,94,watch,reject,0.3366,avoid,65,0.3519,0.0033,0.6287,0.0615,invalid,contract,neutral,rising,77.51397287862777,59.28859627719072,略强于基准,-13.605,0.0,True,True,False,False,True,True,buy_looked_good_then_broke
300432.SZ,富临精工,2025-03-11,2025-03-12,1,100,23.84,23.38,-46.0,-0.0193,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.5268,watch,75,0.0278,0.8584,0.0186,0.871,suspicious,expand,gentle_expand,rising,85.72539644280343,65.80214945188,显著强于基准,-67.998,0.0,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.5724,candidate,75,0.0154,0.6413,0.0918,0.9055,suspicious,neutral,neutral,rising,88.51665498188085,62.8806857356889,显著强于基准,-68.264,0.0,True,False,False,False,True,True,other
603799.SH,华友钴业,2025-03-11,2025-03-13,2,100,38.64,38.92,28.0,0.0072,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.4813,watch,57,0.0034,0.961,0.0207,0.1426,valid,neutral,gentle_expand,high_zone,90.17522836575654,66.83591794702258,显著强于基准,-8.8295,0.0,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.5321,watch,58,0.0076,0.8476,0.0332,0.4617,valid,neutral,gentle_expand,high_zone,93.40322638269913,66.04302454147347,显著强于基准,-26.6055,0.0,False,False,False,False,True,True,other
002155.SZ,湖南黄金,2025-03-12,2025-03-14,2,100,24.03,23.66,-37.0,-0.0154,momentum_but_heavy_overhead,avoid_chasing,scale_out_into_strength,100,watch,observe,0.5046,watch,69,0.026,0.0603,0.1075,0.1019,suspicious,neutral,gentle_expand,high_zone,100.0,68.81177233891916,显著强于基准,-16.887,0.0,momentum_but_heavy_overhead,avoid_chasing,scale_out_into_strength,100,watch,observe,0.5248,watch,70,0.0405,0.2451,0.2022,0.1528,suspicious,neutral,neutral,rising,100.0,68.78297052351559,显著强于基准,-19.742,0.0,True,False,False,False,False,True,other
600031.SH,三一重工,2025-03-07,2025-03-14,7,200,19.89,20.43,108.0,0.0271,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,98,watch,observe,0.4086,watch,62,0.0328,0.0421,0.8768,0.0299,suspicious,contract,neutral,high_zone,74.05134367276477,60.024766336773745,显著强于基准,-10.451,0.0,momentum_but_heavy_overhead,avoid_chasing,scale_out_into_strength,100,watch,observe,0.6476,candidate,58,0.416,0.1699,0.8943,0.0524,valid,neutral,gentle_expand,high_zone,79.69010111952782,63.452823536102315,略强于基准,11.318,0.0,False,True,False,False,False,True,other
603568.SH,伟明环保,2025-03-18,2025-03-20,2,200,22.69,21.77,-184.0,-0.0405,defense_first,stand_aside,exit_on_invalidation,100,exhausted,reject,0.166,avoid,55,0.1177,0.8538,0.1097,0.7904,valid,expand,distribution,high_zone,37.7978453766448,31.047327128089698,显著强于基准,-57.6,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.3035,avoid,56,0.4004,0.0239,0.9506,0.1176,suspicious,contract,neutral,rising,79.23117370362088,58.48280843472962,显著强于基准,-6.3905,0.0,True,False,False,True,False,True,other
000408.SZ,藏格矿业,2025-03-17,2025-03-20,3,100,36.8,36.77,-3.0,-0.0008,momentum_but_heavy_overhead,avoid_chasing,scale_out_into_strength,100,watch,observe,0.5328,watch,59,0.0714,0.048,0.8856,0.0573,suspicious,contract,neutral,high_zone,77.5203334424798,58.31016632651893,显著强于基准,-2.034,0.0,momentum_but_heavy_overhead,avoid_chasing,scale_out_into_strength,100,watch,observe,0.5189,watch,60,0.5953,0.0302,0.821,0.0669,suspicious,neutral,neutral,high_zone,70.65964809356812,52.88564234652121,与基准大体同步,6.2425,0.0,True,False,False,False,False,True,other
600547.SH,山东黄金,2025-03-20,2025-03-24,4,100,27.21,26.1,-111.0,-0.0408,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.403,watch,54,0.019,0.8617,0.025,0.9215,suspicious,contract,neutral,high_zone,72.86721598351251,56.74074878312041,略强于基准,-55.775,0.0,defense_first,stand_aside,exit_on_invalidation,86,watch,reject,0.4559,watch,65,0.3242,0.1218,0.3834,0.5967,invalid,contract,neutral,rising,73.5534447370143,56.96799678155777,略强于基准,-43.7025,0.0,True,True,False,False,True,True,buy_looked_good_then_broke
000975.SZ,山金国际,2025-03-20,2025-03-24,4,200,18.77,18.24,-106.0,-0.0282,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,99,watch,observe,0.4679,watch,60,0.018,0.0807,0.0772,0.8197,suspicious,neutral,neutral,rising,72.19254612777112,57.363183934536266,略强于基准,-53.1165,0.0,defense_first,stand_aside,exit_on_invalidation,90,watch,reject,0.4132,watch,67,0.2751,0.0573,0.2263,0.5693,invalid,contract,neutral,rising,71.99505211074853,58.66420973900059,显著强于基准,-45.562,0.0,True,True,False,False,True,True,buy_looked_good_then_broke
600988.SH,赤峰黄金,2025-03-21,2025-03-24,3,200,21.23,20.86,-74.0,-0.0174,defense_first,stand_aside,exit_on_invalidation,99,watch,reject,0.3711,avoid,67,0.1074,0.0093,0.033,0.7663,invalid,contract,neutral,rising,73.13474628233908,56.780927106602746,显著强于基准,-59.4805,0.0,defense_first,stand_aside,exit_on_invalidation,90,watch,reject,0.4111,watch,67,0.1548,0.0096,0.5246,0.3656,invalid,contract,neutral,rising,76.70303541162318,56.34994138261307,略强于基准,-35.8405,0.0,True,False,False,False,True,True,other
603529.SH,爱玛科技,2025-03-21,2025-03-25,4,100,45.48,44.15,-133.0,-0.0292,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.4813,watch,75,0.0253,0.887,0.0683,0.9025,suspicious,expand,neutral,high_zone,78.6076224513615,64.99642781876693,显著强于基准,-71.9855,0.0,defense_first,stand_aside,exit_on_invalidation,100,watch,reject,0.4509,watch,67,0.733,0.1239,0.5471,0.0723,invalid,contract,neutral,rising,74.53420483245509,55.2081017865508,略强于基准,-1.3875,0.0,True,True,False,False,True,True,buy_looked_good_then_broke
600562.SH,国睿科技,2025-05-09,2025-05-12,3,100,23.76,26.18,242.0,0.1019,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.3683,avoid,60,0.962,0.064,0.9014,0.0963,valid,expand,impulsive_spike,rising,69.96517691882416,63.050339504642665,显著强于基准,5.0355,0.0,defense_first,stand_aside,exit_on_invalidation,100,watch,observe,0.368,avoid,62,0.4053,0.341,0.6031,0.3948,valid,neutral,impulsive_spike,high_zone,90.0,78.20390074395436,显著强于基准,-26.022,0.0,False,False,False,False,True,True,other
000559.SZ,万向钱潮,2025-05-13,2025-05-14,1,400,9.51,8.94,-228.0,-0.0599,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.2732,avoid,74,0.0878,0.9247,0.0209,0.8725,suspicious,expand,impulsive_spike,rising,90.0,78.97788668219293,显著强于基准,-77.3,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,watch,observe,0.3723,avoid,79,0.0422,0.0718,0.3943,0.5577,suspicious,expand,impulsive_spike,rising,90.0,73.0584046594546,显著强于基准,-59.8645,0.0,True,True,False,True,False,True,system_stayed_positive_but_loss
002074.SZ,国轩高科,2025-05-12,2025-05-14,2,100,24.05,23.81,-24.0,-0.01,defense_first,stand_aside,exit_on_invalidation,100,exhausted,reject,0.1108,avoid,67,0.8802,0.8216,0.0411,0.8123,suspicious,expand,distribution,high_zone,48.68192995348687,52.928968451482575,显著强于基准,-58.148,0.0,defense_first,stand_aside,exit_on_invalidation,100,watch,reject,0.4145,watch,68,0.7707,0.3162,0.8106,0.1294,invalid,neutral,neutral,rising,83.49164756932083,64.0711190575157,显著强于基准,-6.6975,0.0,True,False,False,False,True,True,other
