ticker,name,buy_date,sell_date,hold_days,quantity,buy_price,sell_price,net_pnl,gross_return,buy_conclusion_label,buy_watching_action,buy_holding_action,buy_structure_score,buy_trigger_score,buy_trigger_state,buy_opportunity_type,buy_risk_score,buy_p_continue_10d,buy_p_fail_5d,buy_p_acceptance_1d,buy_p_fail_fast_3d,buy_breakout_quality,buy_volume_state,buy_volume_pattern,buy_position_state,buy_trend_truth_score,buy_readiness_score,buy_relative_strength_label,buy_rank_score,buy_target_weight,sell_conclusion_label,sell_watching_action,sell_holding_action,sell_structure_score,sell_trigger_score,sell_trigger_state,sell_opportunity_type,sell_risk_score,sell_p_continue_10d,sell_p_fail_5d,sell_p_acceptance_1d,sell_p_fail_fast_3d,sell_breakout_quality,sell_volume_state,sell_volume_pattern,sell_position_state,sell_trend_truth_score,sell_readiness_score,sell_relative_strength_label,sell_rank_score,sell_target_weight,is_loss,buy_full_positive,buy_strong_positive,sell_still_positive,sell_became_defensive,new_trigger_filter,mismatch_type
002085.SZ,万丰奥威,2025-02-25,2025-02-26,1,200,20.87,20.94,14.0,0.0034,defense_first,stand_aside,exit_on_invalidation,100,100,watch,observe,68,0.0916,0.9724,0.049,0.9456,valid,expand,neutral,rising,66.17441199968385,58.39644117876581,显著强于基准,-15.576,0.0,defense_first,stand_aside,exit_on_invalidation,100,99,watch,observe,68,0.3423,0.8086,0.0361,0.8964,suspicious,neutral,gentle_expand,high_zone,77.77357325755771,60.473159032301524,显著强于基准,11.896,0.0,False,False,False,False,True,True,other
600100.SH,同方股份,2025-02-25,2025-02-26,1,500,9.25,9.18,-35.0,-0.0076,defense_first,stand_aside,exit_on_invalidation,100,100,watch,observe,64,0.0156,0.9449,0.0479,0.8678,valid,expand,impulsive_spike,rising,74.53900015234645,69.3820241689374,显著强于基准,-14.508,0.0,defense_first,stand_aside,exit_on_invalidation,100,100,watch,observe,65,0.0735,0.8075,0.0602,0.6754,valid,neutral,neutral,rising,89.35170807453417,68.93827366710656,显著强于基准,1.826,0.0,True,False,False,False,True,True,other
601231.SH,环旭电子,2025-02-26,2025-02-27,1,200,19.55,19.26,-58.0,-0.0148,defense_first,stand_aside,exit_on_invalidation,100,98,watch,observe,58,0.0308,0.9838,0.036,0.937,suspicious,contract,neutral,rising,87.25225725878259,61.458916092166604,显著强于基准,-12.24,0.0,defense_first,stand_aside,exit_on_invalidation,100,89,watch,observe,57,0.3583,0.9121,0.1459,0.5077,suspicious,contract,neutral,rising,86.38716521398078,62.317761551197414,显著强于基准,42.318,0.0,True,False,False,False,True,True,other
601777.SH,千里科技,2025-02-26,2025-02-27,1,400,9.91,10.24,132.0,0.0333,defense_first,stand_aside,exit_on_invalidation,100,100,watch,observe,74,0.0343,0.9505,0.0181,0.9704,suspicious,neutral,neutral,rising,100.0,67.7735969764122,显著强于基准,-28.794,0.0,defense_first,stand_aside,exit_on_invalidation,100,100,watch,observe,74,0.015,0.9246,0.0505,0.6567,suspicious,neutral,gentle_expand,high_zone,100.0,69.92589913390631,显著强于基准,-11.902,0.0,False,False,False,False,True,True,other
603659.SH,璞泰来,2025-02-27,2025-02-28,1,200,17.44,17.29,-30.0,-0.0086,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,100,watch,observe,57,0.8454,0.0582,0.1055,0.0421,valid,expand,neutral,rising,71.31015602350897,59.848088787163206,显著强于基准,125.014,0.0,momentum_but_heavy_overhead,avoid_chasing,scale_out_into_strength,100,92,watch,observe,58,0.3878,0.0181,0.865,0.0521,suspicious,neutral,neutral,rising,72.14561786407046,55.156478348376154,显著强于基准,73.254,0.0,True,True,False,False,False,True,other
000887.SZ,中鼎股份,2025-02-26,2025-02-28,2,100,24.32,20.61,-292.0,-0.1525,defense_first,stand_aside,exit_on_invalidation,100,100,confirmed,trend_follow,60,0.0517,0.956,0.016,0.9402,valid,expand,gentle_expand,high_zone,100.0,79.54800151290947,显著强于基准,-11.242,0.0,defense_first,stand_aside,exit_on_invalidation,100,100,watch,observe,67,0.4798,0.2805,0.4806,0.5196,suspicious,neutral,neutral,rising,100.0,66.652372627207,显著强于基准,49.804,0.0,True,False,False,False,True,True,other
000887.SZ,中鼎股份,2025-02-27,2025-02-28,1,100,22.74,20.61,-292.0,-0.0937,defense_first,stand_aside,exit_on_invalidation,100,100,watch,observe,63,0.0138,0.9435,0.0405,0.9369,valid,expand,neutral,rising,100.0,70.5129972772653,显著强于基准,-17.834,0.0,defense_first,stand_aside,exit_on_invalidation,100,100,watch,observe,67,0.4798,0.2805,0.4806,0.5196,suspicious,neutral,neutral,rising,100.0,66.652372627207,显著强于基准,49.804,0.0,True,False,False,False,True,True,other
000932.SZ,华菱钢铁,2025-02-27,2025-03-03,4,900,4.97,4.93,-36.0,-0.008,defense_first,stand_aside,exit_on_invalidation,100,85,watch,reject,63,0.8567,0.125,0.0216,0.0988,valid,expand,gentle_expand,high_zone,51.250100269505964,49.949433743873335,显著强于基准,108.492,0.0,momentum_but_heavy_overhead,avoid_chasing,scale_out_into_strength,100,92,watch,observe,63,0.4899,0.039,0.113,0.0412,suspicious,neutral,gentle_expand,high_zone,76.60190608487171,57.630587982252116,显著强于基准,79.118,0.0,True,False,False,False,False,True,other
002273.SZ,水晶光电,2025-02-27,2025-03-03,4,100,27.23,24.52,-271.0,-0.0995,defense_first,stand_aside,exit_on_invalidation,100,98,watch,observe,64,0.0357,0.9551,0.0171,0.9206,suspicious,neutral,gentle_expand,high_zone,90.41530838771895,67.88755849026448,显著强于基准,-16.766,0.0,defense_first,stand_aside,exit_on_invalidation,77,74,watch,reject,72,0.286,0.3017,0.2446,0.7131,invalid,contract,neutral,rising,73.67115888866431,56.569383557378956,与基准大体同步,-10.836,0.0,True,False,False,False,True,True,other
002709.SZ,天赐材料,2025-02-28,2025-03-03,3,200,21.03,21.91,176.0,0.0418,momentum_but_heavy_overhead,avoid_chasing,scale_out_into_strength,100,94,watch,observe,66,0.1353,0.0077,0.9187,0.0486,suspicious,expand,neutral,rising,68.15812791441176,56.16462645392168,显著强于基准,41.314,0.0,defense_first,stand_aside,exit_on_invalidation,100,100,watch,observe,67,0.1547,0.497,0.1051,0.2425,valid,expand,gentle_expand,high_zone,76.84176661662205,64.67247260919868,显著强于基准,33.92,0.0,False,False,False,False,True,True,other
