排名,股票代码,股票名称,行业,市场板块,收盘价,结论标签,动作标签,趋势阶段,执行分,仓位,机会类型,入场分区,入场概率,次日承接,快速失败,Early分,Mid分,Late分,市场分,板块分,基本面分,结构分,10日延续概率,突破成功率,10日预期收益,风险分,模型风险
26,603590.SH,康辰药业,生物制药,主板,39.30,defense_first,stand_aside,mid,23.82,0%,first_buy,ready,81.40%,67.36%,17.76%,62.8,68.7,25.1,0.0,59.0,58.0,56,48.20%,46.00%,2.35%,71,0.75
27,300667.SZ,必创科技,电器仪表,创业板,18.55,confirmation_needed,stand_aside,mid,23.81,0%,trend_follow,ready,81.00%,78.51%,9.70%,47.3,59.2,29.9,0.0,56.2,56.7,100,57.93%,56.67%,4.11%,75,0.73
28,688266.SH,泽璟制药-U,生物制药,科创板,99.78,confirmation_needed,stand_aside,mid,23.69,0%,observe,ready,80.80%,65.57%,21.35%,18.6,100.0,40.2,0.0,59.0,56.5,100,84.57%,69.33%,6.35%,57,0.68
29,002126.SZ,银轮股份,汽车配件,主板,47.24,defense_first,watch,mid,23.67,10%,observe,ready,85.80%,66.99%,19.31%,53.7,77.1,21.5,0.0,54.9,59.2,87,49.40%,63.37%,3.30%,56,0.62
30,301176.SZ,逸豪新材,元器件,创业板,29.89,confirmation_needed,stand_aside,mid,23.64,0%,observe,ready,85.80%,67.01%,19.89%,44.8,79.8,16.5,0.0,67.6,57.5,100,56.99%,54.67%,3.47%,64,0.81
31,002203.SZ,海亮股份,铜,主板,15.25,confirmation_needed,stand_aside,mid,23.59,0%,observe,ready,86.00%,66.88%,20.58%,62.7,85.3,25.9,0.0,57.4,60.5,97,68.90%,55.91%,4.48%,57,0.71
32,600309.SH,万华化学,化工原料,主板,92.20,confirmation_needed,watch,mid,23.38,10%,observe,candidate,66.80%,74.27%,11.55%,70.3,91.5,24.3,0.0,55.5,62.0,97,64.93%,58.45%,4.59%,60,0.63
33,002176.SZ,江特电机,小金属,主板,10.93,defense_first,stand_aside,mid,23.38,0%,observe,ready,85.20%,66.03%,18.27%,64.8,87.3,17.2,0.0,54.9,56.7,90,50.61%,56.00%,2.99%,63,0.77
34,300464.SZ,星徽股份,机械基件,创业板,7.71,confirmation_needed,stand_aside,early,23.23,0%,first_buy,ready,72.60%,61.90%,19.71%,64.5,64.0,27.7,0.0,56.8,56.3,74,70.63%,68.67%,5.06%,64,0.68
35,688137.SH,近岸蛋白,生物制药,科创板,45.23,confirmation_needed,watch,mid,23.16,10%,observe,ready,80.80%,67.90%,17.10%,60.2,75.8,26.1,0.0,59.0,57.1,90,62.82%,70.84%,4.78%,55,0.59
36,920438.BJ,戈碧迦,元器件,北交所,43.00,confirmation_needed,watch,mid,23.12,10%,observe,candidate,68.60%,77.79%,11.89%,52.8,78.2,19.3,0.0,67.6,54.3,88,49.76%,57.82%,3.48%,62,0.59
37,300307.SZ,慈星股份,纺织机械,创业板,6.51,defense_first,stand_aside,transition,23.06,0%,first_buy,ready,71.80%,66.89%,15.53%,45.4,57.9,26.9,0.0,57.0,54.7,42,63.00%,30.33%,2.73%,63,0.66
38,002756.SZ,永兴材料,小金属,主板,75.92,confirmation_needed,stand_aside,mid,22.99,0%,first_buy,ready,72.60%,64.10%,20.66%,62.5,87.3,28.1,0.0,54.9,56.7,96,57.61%,54.48%,3.40%,62,0.71
39,600206.SH,有研新材,半导体,主板,22.63,confirmation_needed,watch,mid,22.99,10%,observe,candidate,67.60%,72.62%,10.16%,60.2,84.9,28.0,0.0,69.4,55.9,70,43.06%,70.99%,3.40%,56,0.50
40,002407.SZ,多氟多,化工原料,主板,28.67,confirmation_needed,watch,transition,22.95,10%,first_buy,candidate,67.20%,67.91%,19.64%,52.7,65.8,25.0,0.0,55.5,51.0,47,60.06%,43.00%,3.17%,55,0.77
41,601886.SH,江河集团,装修装饰,主板,9.44,confirmation_needed,stand_aside,mid,22.91,0%,observe,ready,80.20%,62.11%,18.03%,56.0,84.7,25.8,0.0,72.0,62.0,95,61.09%,50.90%,3.42%,60,0.79
