排名,股票代码,股票名称,行业,市场板块,收盘价,结论标签,动作标签,趋势阶段,执行分,仓位,机会类型,入场分区,入场概率,次日承接,快速失败,Early分,Mid分,Late分,市场分,板块分,基本面分,结构分,10日延续概率,突破成功率,10日预期收益,风险分,模型风险
1,601019.SH,山东出版,出版业,主板,9.25,confirmation_needed,watch,early,33.32,10%,trend_follow,ready,85.90%,78.89%,11.01%,75.9,71.1,17.2,47.4,44.4,54.6,90,60.54%,51.93%,4.10%,55,0.67
2,605208.SH,永茂泰,铝,主板,13.85,confirmation_needed,watch,mid,33.30,10%,trend_follow,ready,86.00%,77.78%,11.33%,64.8,78.9,15.9,0.0,57.2,54.6,90,58.77%,53.33%,3.98%,53,0.66
3,002938.SZ,鹏鼎控股,元器件,主板,55.60,confirmation_needed,watch,mid,32.88,10%,trend_follow,ready,86.00%,77.17%,12.10%,51.2,72.8,15.9,47.4,56.8,54.6,98,58.85%,50.43%,3.82%,58,0.66
4,605100.SH,华丰股份,机械基件,主板,45.69,confirmation_needed,watch,mid,29.80,10%,trend_follow,ready,85.80%,79.13%,9.04%,61.7,68.9,22.5,0.0,42.9,54.6,99,59.07%,69.38%,4.86%,53,0.56
5,002937.SZ,兴瑞科技,元器件,主板,29.65,confirmation_needed,watch,mid,29.04,10%,trend_follow,ready,86.00%,75.47%,10.83%,54.8,71.7,19.8,0.0,56.8,54.6,100,52.06%,53.81%,3.37%,63,0.69
6,603289.SH,泰瑞机器,专用机械,主板,12.05,defense_first,watch,mid,29.03,10%,trend_follow,ready,86.00%,74.38%,12.88%,54.7,77.1,16.7,0.0,53.1,54.6,89,50.40%,56.00%,3.31%,62,0.77
7,002342.SZ,巨力索具,机械基件,主板,15.59,high_quality_continuation,stand_aside,mid,28.75,0%,trend_follow,ready,86.00%,79.25%,9.43%,49.9,58.3,24.5,47.4,42.9,54.6,100,69.69%,61.63%,5.33%,70,0.74
8,603958.SH,哈森股份,服饰,主板,22.28,defense_first,stand_aside,mid,28.51,0%,trend_follow,ready,85.40%,74.63%,9.65%,50.5,70.2,19.3,47.4,42.1,54.6,100,43.09%,58.61%,2.86%,75,0.68
9,300389.SZ,艾比森,元器件,创业板,19.13,confirmation_needed,stand_aside,mid,28.10,0%,first_buy,ready,72.90%,65.59%,18.09%,54.7,88.6,25.8,47.4,56.8,54.6,82,65.25%,64.87%,4.59%,66,0.71
10,603317.SH,天味食品,食品,主板,13.18,defense_first,watch,mid,28.00,10%,trend_follow,ready,86.00%,75.32%,10.03%,53.9,66.8,21.1,0.0,45.6,54.6,80,51.92%,58.04%,3.57%,60,0.63
11,002952.SZ,亚世光电,元器件,主板,27.18,defense_first,watch,mid,27.93,10%,observe,ready,85.80%,80.07%,9.62%,54.8,78.5,16.9,0.0,56.8,54.6,95,49.51%,54.00%,3.36%,64,0.72
12,603409.SH,汇通控股,汽车配件,主板,39.40,defense_first,watch,mid,27.69,10%,trend_follow,ready,86.00%,74.53%,12.36%,55.4,67.3,26.7,0.0,43.4,54.6,73,50.05%,61.42%,3.56%,57,0.60
13,603306.SH,华懋科技,汽车配件,主板,97.06,defense_first,stand_aside,early,27.42,0%,trend_follow,ready,80.90%,76.15%,8.88%,59.2,57.2,26.3,47.4,43.4,54.6,100,47.96%,65.72%,3.67%,69,0.62
