ticker,name,buy_date,sell_date,hold_days,quantity,buy_price,sell_price,net_pnl,gross_return,buy_conclusion_label,buy_watching_action,buy_holding_action,buy_structure_score,buy_risk_score,buy_p_continue_10d,buy_p_fail_5d,buy_breakout_quality,buy_volume_state,buy_relative_strength_label,buy_rank_score,buy_target_weight,sell_conclusion_label,sell_watching_action,sell_holding_action,sell_structure_score,sell_risk_score,sell_p_continue_10d,sell_p_fail_5d,sell_breakout_quality,sell_volume_state,sell_relative_strength_label,sell_rank_score,sell_target_weight,is_loss,buy_full_positive,buy_strong_positive,sell_still_positive,sell_became_defensive,mismatch_type
601600.SH,中国铝业,2025-10-30,2025-11-03,4,300,10.31,10.14,-51.0,-0.0165,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,57,0.5939,0.2127,valid,neutral,显著强于基准,102.39,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,57,0.5809,0.2171,valid,neutral,显著强于基准,101.09,0.0,True,True,False,True,False,system_stayed_positive_but_loss
601611.SH,中国核建,2025-10-31,2025-11-03,3,200,13.3,13.28,-4.0,-0.0015,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,68,0.5757,0.2151,suspicious,neutral,略强于基准,89.57,0.0,defense_first,stand_aside,exit_on_invalidation,92,79,0.4862,0.2287,invalid,contract,与基准大体同步,61.62,0.0,True,True,False,False,True,buy_looked_good_then_broke
600885.SH,宏发股份,2025-11-03,2025-11-05,2,100,30.89,33.51,262.0,0.0848,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,56,0.6187,0.245,valid,expand,显著强于基准,105.87,0.0,high_quality_continuation,buy_on_pullback,hold_above_support,100,65,0.6247,0.2533,valid,expand,显著强于基准,97.47,0.2,False,True,False,True,False,other
000338.SZ,潍柴动力,2025-11-10,2025-11-12,2,200,18.32,17.85,-94.0,-0.0257,high_quality_continuation,buy_on_pullback,hold_above_support,100,67,0.6483,0.2993,suspicious,neutral,显著强于基准,97.83,0.0,defense_first,stand_aside,exit_on_invalidation,100,68,0.6473,0.3028,invalid,contract,显著强于基准,96.73,0.0,True,True,True,False,True,buy_looked_good_then_broke
601225.SH,陕西煤业,2025-10-17,2025-11-13,27,100,22.5,24.1,160.0,0.0711,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,100,59,0.5696,0.2264,suspicious,neutral,显著强于基准,97.96,0.0,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,97,64,0.6881,0.4107,suspicious,neutral,与基准大体同步,101.81,0.0,False,True,False,True,False,other
002129.SZ,TCL中环,2025-11-12,2025-11-13,1,300,10.38,10.53,45.0,0.0145,confirmation_needed,wait_for_confirmation,trim_on_failed_confirmation,99,64,0.5295,0.2677,suspicious,neutral,略强于基准,87.95,0.0,high_quality_continuation,buy_on_pullback,hold_above_support,100,56,0.902,0.1743,valid,contract,显著强于基准,134.2,0.2,False,True,False,True,False,other
600039.SH,四川路桥,2025-11-03,2025-11-14,11,300,9.72,9.43,-87.0,-0.0298,high_quality_continuation,buy_on_pullback,hold_above_support,100,58,0.7709,0.2814,valid,expand,显著强于基准,119.09,0.2,defense_first,stand_aside,exit_on_invalidation,99,62,0.8383,0.2286,invalid,contract,与基准大体同步,120.83,0.0,True,True,True,False,True,buy_looked_good_then_broke
601233.SH,桐昆股份,2025-11-13,2025-11-17,4,200,16.0,15.92,-16.0,-0.005,defense_first,stand_aside,exit_on_invalidation,100,66,0.5317,0.3075,suspicious,contract,显著强于基准,87.17,0.0,defense_first,stand_aside,exit_on_invalidation,94,66,0.5307,0.3335,suspicious,neutral,显著强于基准,81.07,0.0,True,False,False,False,True,other
601600.SH,中国铝业,2025-11-13,2025-11-17,4,300,12.14,11.15,-297.0,-0.0815,defense_first,stand_aside,exit_on_invalidation,100,74,0.5021,0.314,suspicious,neutral,显著强于基准,76.21,0.0,defense_first,stand_aside,exit_on_invalidation,86,76,0.3856,0.3292,invalid,neutral,略强于基准,48.56,0.0,True,False,False,False,True,other
600219.SH,南山铝业,2025-11-13,2025-11-17,4,700,5.35,5.11,-168.0,-0.0449,defense_first,stand_aside,exit_on_invalidation,99,72,0.4968,0.2933,suspicious,neutral,显著强于基准,76.68,0.0,defense_first,stand_aside,exit_on_invalidation,82,72,0.3915,0.3344,invalid,contract,略强于基准,49.15,0.0,True,False,False,False,True,other
