ticker,date,return_5d,return_10d,return_20d,ma20_slope,ma60_slope,atr_14,atr_pct,realized_vol_20,price_vs_ma20_z,price_vs_ma60_z,trend_r2_20,trend_r2_60,efficiency_ratio_20,efficiency_ratio_60,obv_slope_10,vwap_distance,breakout_volume_percentile,pullback_volume_shrink_ratio,close_near_high_pct,upper_shadow_ratio,lower_shadow_ratio,body_ratio,gap_pct,volume_spike_ratio,ma20_slope_5,ma20_slope_delta,return_3d,acceleration_score,acceptance_strength,trigger_strength,price_center_shift_5,price_center_shift_10,trend_truth_score,buy_readiness_score,last_bi_direction,segment_direction,center_shift_direction,divergence_state,benchmark_weekly_trend,benchmark_daily_state,benchmark_return_5d,benchmark_return_20d,excess_return_5d,excess_return_20d,structure_strength_score,structure_confirmation_score,structure_risk_score,structure_confidence,breakout_confirm_flag,false_breakout_risk_flag,distribution_risk_flag,stall_risk_flag,position_state,volume_pattern,pivot_count,latest_pivot_type,bi_direction,active_center,active_center_upper,active_center_lower,latest_event_type,bi_count,segment_count,center_count,last_bi_amplitude_pct,last_bi_bars,last_bi_impulse_score,last_3_bi_up_ratio,segment_amplitude_pct,segment_bi_count,segment_impulse_score,active_center_flag,center_width_pct,center_touch_count,center_shift_pct,distance_to_center_upper,distance_to_center_lower,leave_center_strength,return_test_depth,divergence_score,continue_10d,breakout_success,fail_5d,fail_fast_3d,acceptance_1d,entry_success_3d,exhaustion_5d,return_profile,drawdown_bucket,expected_return_10d,expected_drawdown_10d
000027.SZ,2025-10-24,0.0804769001490313,0.052249637155297624,0.1275272161741836,0.04099999999999948,0.008166666666666877,0.2107142857142856,0.02906403940886698,0.02706492566714423,1.8338489485900582,2.6013488620884053,0.5964806843228089,0.07309545009934519,0.3693693693693697,0.10187110187110195,-7348.524999999977,0.03819615873665172,1.0,1.8697803027079145,0.8909090909090915,0.10909090909091003,0.10909090909090842,0.7818181818181815,0.022636484687083902,4.173844021683889,0.027800000000000047,0.034999999999999254,0.052249637155297624,0.6289749456193076,1.0,76.20554085902369,0.030994152046783352,0.04184790760461965,60.60069628097536,64.07190595604848,down,down,flat,mild,up,trend,0.032441602225139254,0.036142854697384985,0.04803529792389205,0.09138436147679863,94,62,66,0.95,0,0,0,0,rising,neutral,100,low,down,6.6800-6.8000,6.8,6.68,breakout_up,74,74,59,-0.04160688665710188,4,0.013580398266857968,0.3333333333333333,-0.04160688665710188,1,0.013580398266857968,1,0.017804154302670638,3,0.008227374719521174,0.16999999999999993,0.0,0.0,2.4166666666666647,0.5,0,0,0,0,1,0,1,small_loss,mild,-0.0193103448275862,0.030344827586206824
000338.SZ,2025-11-10,0.184993531694696,0.29287226534932964,0.28291316526610655,0.20200000000000173,0.05050000000000132,0.6014285714285713,0.03282907049282594,0.026253838186923853,2.2022492517175993,3.5730795472273718,0.5497911636152563,0.005919981781080017,0.7112676056338028,0.2777268560953256,1958244.2710000002,0.13242809757754692,0.9833333333333333,2.17640127962594,0.49999999999999817,0.18367346938775472,0.5000000000000018,0.3163265306122435,0.019704433497536922,2.154241559232763,0.15869999999999962,0.11750000000000149,0.11775472849298341,0.2666825014371533,0.9116244620457256,63.59227436976813,0.18568110397595317,0.10423137985780362,100.0,72.31017155184495,down,down,down,confirmed,up,rebound,0.00894998816779835,0.02200101720110359,0.17604354352689766,0.26091214806500296,100,59,67,0.95,0,0,0,0,high_zone,gentle_expand,91,low,down,14.5500-14.7600,14.76,14.55,breakout_up,71,71,62,-0.028455284552845517,2,0.022185574017615166,0.3333333333333333,-0.028455284552845517,1,0.022185574017615166,1,0.01432958034800403,3,-0.053294573643410836,0.0,-0.21000000000000085,1.0000000000000084,1.0,0.85,0,0,1,0,0,0,1,large_loss,deep,-0.09388646288209601,0.09388646288209601
000338.SZ,2026-01-19,0.19692144373673037,0.29597701149425304,0.31180919139034313,0.2680000000000007,0.1335000000000015,0.7828571428571429,0.03471650300918594,0.02307394221477777,2.9339638006592863,3.533319670249045,0.6115109079278238,0.49400913806115915,0.7146666666666652,0.4156720290607158,1236697.8119999997,0.1812147867224756,0.95,1.9002093191107594,0.15865384615384545,0.15865384615384545,0.0961538461538459,0.7451923076923086,0.002865329512893977,2.5457783096233397,0.1402000000000001,0.2010000000000005,0.1629706034038163,0.38197314783550007,1.0,69.82517056686427,0.13120567375886516,0.10104768992958135,75.74274406814548,67.4575115939102,down,down,flat,confirmed,up,rebound,-0.011578471478254637,0.03990144422568265,0.208499915214985,0.2719077471646605,100,71,66,0.95,0,0,0,0,high_zone,impulsive_spike,103,low,down,17.1500-17.8800,17.88,17.15,breakout_up,79,79,69,-0.040827740492170084,4,0.015116059843120828,0.3333333333333333,-0.040827740492170084,1,0.015116059843120828,1,0.04167856123322868,3,0.002575844304522068,0.0,0.0,0.0,1.0,1.0,1,0,1,1,0,0,0,flat,medium,0.0008869179600887733,0.04212860310421285
000408.SZ,2025-03-17,0.0959189752755436,0.12887388769561192,0.1411290322580645,0.22749999999999915,0.1526666666666685,1.0092857142857132,0.027433697045004438,0.019628366845314684,1.7010153326829387,2.077468509602378,0.5438474867491547,0.8394903359951339,0.5223880597014905,0.33188405797101417,27283.754000000004,0.07356620138442804,0.4666666666666667,1.5100478096189234,0.3880597014925375,0.373134328358212,0.6119402985074626,0.01492537313432551,0.0,0.8660530696421305,0.20830000000000126,0.14750000000000796,-0.013937282229965264,-0.0364372481605384,0.7529904562179439,53.7274683243071,0.11150904455505639,0.062072545188080364,77.5203334424798,58.31016632651893,up,up,up,mild,up,consolidation,0.01730446163000643,0.012511861293551307,0.07861451364553718,0.1286171709645132,100,58,59,0.95,0,0,0,0,high_zone,neutral,56,high,up,31.9000-34.0800,34.08,31.9,breakout_up,50,50,42,0.1877742946708465,8,0.025948695100182877,0.6666666666666666,0.1877742946708465,1,0.025948695100182877,1,0.06608063049408912,3,0.012895302425544708,3.8100000000000023,0.0,1.7477064220183498,1.0,0.5,0,0,0,0,1,0,1,small_loss,mild,-0.025822234302799507,0.030986681163359675
000425.SZ,2025-07-23,0.06740196078431371,0.05703883495145634,0.11096938775510212,0.04350000000000165,-0.004999999999999005,0.3035714285714284,0.03485320649499751,0.023250193976683042,1.4088917459656813,0.9915455894485797,0.6926018730626984,0.2207046370981666,0.3118279569892476,0.04615384615384604,220891.19499999992,0.031259784311306715,1.0,1.8918597458010982,0.9780219780219765,0.0,0.021978021978023458,0.9780219780219765,0.04918032786885229,3.4218818964901216,0.04529999999999994,0.031000000000000583,0.049397590361445864,0.4866901757954897,1.0,69.57401731271982,0.052375152253349766,0.04932121061153327,65.34607267898696,63.743330631461376,down,down,flat,none,up,rebound,0.028091072725833888,0.040328189463095354,0.03931088805847982,0.07064119829200677,83,67,57,0.95,0,0,0,0,rising,neutral,83,low,down,7.7300-7.8800,7.88,7.73,breakout_up,64,64,51,-0.0624263839811543,6,0.0174000745857872,0.3333333333333333,-0.0624263839811543,1,0.0174000745857872,1,0.019218449711723186,3,0.0,0.6100000000000003,0.22999999999999954,-1.5333333333333357,5.066666666666683,0.15,0,0,0,0,1,0,0,small_loss,medium,-0.030998851894374457,0.04592422502870264
000426.SZ,2025-06-10,0.19138056975894813,0.17085427135678377,0.24408848207475198,0.1600000000000037,0.04583333333333073,0.5414285714285711,0.03319611106245072,0.028660728999881115,2.6121443856332016,2.9263958364473424,0.44760462927885925,0.08379958893382726,0.46783625730994116,0.15458122540753222,398244.7800000001,0.13933727235778814,0.8833333333333333,1.6017148438425977,0.272727272727273,0.272727272727273,0.5151515151515189,0.21212121212120813,0.0049720323182100845,1.368190195129599,0.10220000000000055,0.13850000000000406,0.1445614035087719,0.10262124373666272,0.8449593225432624,39.053535426326036,0.1257945306725794,0.051396402982892164,68.81058387901135,52.69895143641703,down,down,flat,none,down,consolidation,0.003492330126533494,-0.006462843252121653,0.18788823963241463,0.25055132532687363,100,73,63,0.95,0,1,0,0,high_zone,gentle_expand,76,low,down,13.4300-14.1000,14.1,13.43,breakout_up,64,64,58,-0.06808510638297871,4,0.022821248817021272,0.3333333333333333,-0.06808510638297871,1,0.022821248817021272,1,0.04867417362876861,3,0.0,0.0,-0.28999999999999915,0.43283582089552114,1.0,0.15,0,0,0,0,0,0,0,large_loss,medium,-0.06499080318822803,0.07786633966891476
000426.SZ,2025-10-10,0.3375092114959468,0.5018618121638392,0.64850136239782,0.7139999999999986,0.32433333333333536,1.8764285714285713,0.0516922471467926,0.04132481449607999,2.2730717133666793,3.20843963733129,0.7739137764374555,0.7686233567143006,0.6852207293666026,0.5121052631578946,554266.1119999997,0.30680751047336985,1.0,1.2836115217696127,0.814814814814816,0.814814814814816,0.037037037037037174,0.14814814814814684,-0.012161415146489718,1.7726327932306996,0.5248999999999995,0.3739999999999988,0.16122840690978868,0.19324804124699757,0.7646193904341806,58.04975865333565,0.2363295880149816,0.2249210191605464,100.0,67.70731540468431,down,down,up,mild,up,consolidation,0.005082543492281211,0.057643432152209906,0.3324266680036656,0.5908579302456101,100,65,67,0.95,0,0,0,0,rising,gentle_expand,92,low,down,23.7000-24.2100,24.21,23.7,breakout_up,78,78,71,-0.1083521444695259,2,0.08775708442437918,0.3333333333333333,-0.1083521444695259,1,0.08775708442437918,1,0.021289918597370134,3,0.04584151931892588,2.3699999999999974,0.0,0.0,5.647058823529393,0.5,0,0,1,1,0,0,0,large_loss,crash,-0.1641873278236914,0.1641873278236914
000559.SZ,2025-05-13,0.442962962962963,0.5242566510172144,0.5760517799352751,0.17799999999999994,0.05533333333333257,0.38999999999999996,0.04004106776180698,0.04155113989645081,2.6790039357050612,4.282485818588312,0.5873956182921175,0.0843684049786104,0.7035573122529643,0.2681744749596122,1203544.0720000002,0.2157844590378375,1.0,2.479829300129392,0.4457831325301195,0.4457831325301195,0.3253012048192787,0.2289156626506018,0.029094827586207073,5.577950721435949,0.08879999999999999,0.21300000000000008,0.26988265971316827,0.9691516338935044,1.0,91.59295560730979,0.30259900990098965,0.190148728610267,90.0,78.97788668219293,down,down,up,confirmed,up,rebound,0.023031357088213023,0.04314276687216423,0.41993160587475,0.5329090130631109,100,71,74,0.95,0,0,0,0,rising,impulsive_spike,66,low,down,6.2300-6.5600,6.56,6.23,breakout_up,48,48,39,-0.05891238670694854,4,0.021254620751510536,0.3333333333333333,-0.05891238670694854,1,0.021254620751510536,1,0.05160281469898346,3,0.019936204146730363,0.0600000000000005,0.0,0.0,1.1818181818181839,0.85,0,0,1,1,0,0,1,large_loss,crash,-0.1611909650924025,0.1611909650924025
000564.SZ,2025-09-05,0.13445378151260523,0.13445378151260523,0.18942731277533054,0.02150000000000052,0.005333333333333634,0.13285714285714295,0.04920634920634924,0.03318029444760953,1.8775275479597593,3.210178221489826,0.7375429921557087,0.37622137703234965,0.3739130434782605,0.13793103448275873,1437484.4489999996,0.07409394589183438,0.9833333333333333,2.2083232505739208,0.1739130434782607,0.1739130434782607,0.6086956521739124,0.21739130434782683,-0.04332129963898923,2.6198400103206145,0.017300000000000003,0.017000000000000348,0.00746268656716409,0.3021926040151276,0.9911098705972791,69.34966175424888,0.092116182572614,0.08290378006872845,76.52936647131794,67.41237420318153,down,down,up,mild,up,rebound,-0.008102324182765464,0.0865678113019619,0.1425561056953707,0.10285950147336864,100,79,69,0.95,0,0,0,0,rising,neutral,98,low,down,2.3300-2.3400,2.34,2.33,breakout_up,73,73,56,-0.06048387096774188,7,0.017281105990783394,0.3333333333333333,-0.06048387096774188,1,0.017281105990783394,1,0.004282655246252586,3,0.01521739130434785,0.14000000000000012,0.0,0.0,15.00000000000031,0.5,1,0,0,0,0,1,0,small_gain,mild,0.022222222222222143,0.02592592592592602
000630.SZ,2026-01-30,0.20553935860058292,0.3513071895424835,0.37603993344425946,0.11300000000000132,0.052666666666667084,0.5128571428571427,0.06201416479530142,0.05155003613945606,1.642198134476699,2.9351693731952833,0.6971950655504179,0.5831171540261829,0.4232209737827716,0.3204868154158215,5925720.884000001,0.19251448473682542,0.9333333333333333,1.687615942185278,1.0,0.345679012345678,0.0,0.654320987654322,-0.042437431991294794,1.3547896991402166,0.11960000000000015,0.04800000000000182,0.08959156785243749,0.04168984568172094,0.772323167444886,52.545636651658505,0.3095618803965463,0.21459804910864455,100.0,66.21015434439528,down,down,up,none,range,consolidation,0.0008173317977517858,0.016501425126613345,0.20472202680283114,0.3595385083176461,100,51,69,0.95,0,0,0,0,rising,neutral,127,low,down,5.8000-6.2000,6.2,5.8,breakout_up,88,88,72,-0.09233176838810642,1,0.18466353677621283,0.3333333333333333,-0.09233176838810642,1,0.18466353677621283,1,0.06666666666666672,3,0.012658227848101111,0.1899999999999995,0.0,0.0,1.4749999999999983,0.15,0,0,1,1,0,0,0,,deep,,0.10036275695284147
