排名,股票代码,股票名称,行业,市场板块,收盘价,结论标签,动作标签,趋势阶段,执行分,仓位,机会类型,入场分区,入场概率,次日承接,快速失败,Early分,Mid分,Late分,市场分,板块分,基本面分,结构分,10日延续概率,突破成功率,10日预期收益,风险分,模型风险
1,300756.SZ,金马游乐,专用机械,创业板,46.30,high_quality_continuation,watch,early,34.91,10%,trend_follow,ready,86.00%,77.63%,11.97%,56.8,52.4,16.1,57.2,60.6,56.0,100,69.01%,77.48%,6.00%,55,0.61
2,688137.SH,近岸蛋白,生物制药,科创板,43.68,confirmation_needed,watch,mid,34.05,10%,trend_follow,ready,85.80%,78.63%,9.02%,65.8,71.6,22.5,57.2,53.9,58.9,78,60.74%,69.00%,4.95%,54,0.56
3,301345.SZ,涛涛车业,摩托车,创业板,230.60,confirmation_needed,watch,mid,33.81,10%,trend_follow,ready,86.00%,79.29%,11.30%,66.8,67.1,15.9,57.2,54.6,54.6,98,60.42%,55.68%,4.29%,63,0.70
4,601633.SH,长城汽车,汽车整车,主板,21.27,confirmation_needed,watch,early,32.50,10%,observe,ready,86.00%,75.82%,9.20%,66.8,56.5,18.9,57.2,49.1,62.0,76,53.01%,58.66%,3.71%,59,0.61
5,688029.SH,南微医学,医疗保健,科创板,80.01,high_quality_continuation,watch,early,31.63,10%,trend_follow,ready,86.00%,78.54%,8.95%,64.8,46.8,19.6,57.2,44.9,60.0,100,63.49%,56.43%,4.54%,54,0.68
6,601825.SH,沪农商行,银行,主板,9.20,confirmation_needed,watch,mid,31.50,10%,observe,ready,86.00%,66.89%,18.37%,65.6,91.7,22.0,57.2,46.7,62.0,100,76.55%,63.79%,5.49%,49,0.58
7,002135.SZ,东南网架,钢加工,主板,7.60,defense_first,watch,mid,30.73,10%,observe,ready,86.00%,75.65%,11.14%,66.0,78.6,17.6,57.2,47.7,58.7,100,47.97%,64.42%,3.58%,65,0.66
8,300347.SZ,泰格医药,医疗保健,创业板,57.86,defense_first,watch,early,30.68,10%,trend_follow,ready,85.60%,74.69%,11.47%,56.8,47.1,16.6,57.2,44.9,59.6,68,44.80%,60.22%,3.08%,61,0.62
9,000729.SZ,燕京啤酒,啤酒,主板,14.26,confirmation_needed,watch,mid,30.24,10%,observe,ready,85.50%,67.90%,19.05%,66.4,83.0,21.5,57.2,48.9,60.5,100,86.76%,75.76%,6.94%,55,0.58
10,301096.SZ,百诚医药,医疗保健,创业板,54.83,defense_first,watch,early,29.92,10%,trend_follow,ready,85.20%,74.97%,11.27%,66.2,49.7,15.9,57.2,44.9,58.9,77,45.79%,53.29%,2.83%,64,0.72
11,605006.SH,山东玻纤,玻璃,主板,10.12,defense_first,stand_aside,mid,29.12,0%,trend_follow,ready,85.90%,75.06%,9.29%,53.9,69.6,24.0,57.2,58.2,57.0,93,50.15%,56.15%,3.32%,78,0.77
12,301606.SZ,绿联科技,元器件,创业板,76.10,defense_first,watch,mid,28.99,10%,observe,ready,86.00%,65.15%,16.71%,47.1,84.8,16.4,57.2,64.1,54.2,92,51.12%,59.10%,3.15%,62,0.66
13,688178.SH,万德斯,环境保护,科创板,32.35,confirmation_needed,stand_aside,mid,28.66,0%,observe,ready,85.80%,67.40%,19.51%,37.2,84.8,27.3,57.2,48.1,57.9,100,87.61%,75.61%,6.99%,63,0.65
14,300868.SZ,杰美特,元器件,创业板,64.21,confirmation_needed,stand_aside,mid,27.56,0%,observe,ready,86.00%,62.16%,20.81%,38.3,100.0,19.0,57.2,64.1,54.3,100,52.18%,62.32%,3.28%,78,0.82
15,002738.SZ,中矿资源,小金属,主板,77.76,defense_first,stand_aside,mid,27.37,0%,first_buy,ready,82.00%,67.96%,20.49%,38.4,66.7,27.8,57.2,46.7,55.1,67,51.40%,48.63%,2.76%,57,0.79
16,688177.SH,百奥泰,生物制药,科创板,23.07,confirmation_needed,watch,early,26.93,10%,first_buy,candidate,68.60%,66.35%,20.03%,86.8,70.1,29.1,57.2,53.9,56.5,64,61.71%,64.67%,4.32%,60,0.66
17,003816.SZ,中国广核,新型电力,主板,4.48,confirmation_needed,watch,mid,26.72,10%,observe,ready,85.60%,64.51%,17.00%,26.4,77.7,19.5,57.2,35.0,62.0,94,71.65%,64.00%,5.01%,49,0.61
18,603929.SH,亚翔集成,装修装饰,主板,210.50,confirmation_needed,stand_aside,mid,26.62,0%,observe,ready,76.00%,78.33%,12.87%,26.8,91.2,51.6,57.2,72.0,55.5,100,52.01%,57.17%,3.65%,65,0.77
19,688498.SH,源杰科技,半导体,科创板,1225.03,confirmation_needed,stand_aside,mid,26.60,0%,observe,ready,85.70%,69.24%,21.00%,38.1,83.0,32.5,57.2,66.5,53.1,100,55.94%,52.83%,3.39%,64,0.79
20,002653.SZ,海思科,化学制药,主板,56.12,confirmation_needed,stand_aside,mid,26.54,0%,observe,ready,86.00%,66.03%,16.34%,27.0,65.1,26.8,57.2,51.7,52.8,100,79.51%,74.36%,6.22%,67,0.65
21,601998.SH,中信银行,银行,主板,8.21,defense_first,watch,mid,26.33,10%,reject,ready,72.60%,64.94%,17.26%,25.5,95.2,20.5,57.2,46.7,62.0,100,86.10%,57.85%,5.88%,55,0.59
22,688566.SH,吉贝尔,化学制药,科创板,32.20,confirmation_needed,stand_aside,mid,26.29,0%,observe,ready,85.80%,64.86%,20.24%,43.8,72.5,24.1,57.2,51.7,59.5,100,77.89%,70.26%,5.84%,57,0.73
23,603132.SH,金徽股份,铅锌,主板,18.50,confirmation_needed,watch,mid,26.21,10%,observe,candidate,67.40%,77.72%,9.30%,56.5,79.4,24.1,57.2,44.1,55.9,93,58.51%,55.91%,4.09%,56,0.57
24,688696.SH,极米科技,家用电器,科创板,94.74,confirmation_needed,watch,early,26.13,10%,observe,ready,81.00%,66.35%,18.11%,61.9,52.0,18.0,57.2,43.7,60.5,85,61.71%,46.22%,3.40%,57,0.75
25,603010.SH,万盛股份,化工原料,主板,12.55,confirmation_needed,watch,early,25.90,10%,observe,ready,81.00%,67.64%,16.08%,76.2,70.2,26.1,57.2,51.5,58.7,100,60.12%,57.35%,3.88%,56,0.73
26,002825.SZ,纳尔股份,化工原料,主板,11.00,momentum_but_heavy_overhead,watch,mid,25.80,10%,first_buy,candidate,59.90%,74.59%,11.24%,55.1,63.0,25.7,57.2,51.5,62.0,53,32.17%,52.24%,1.67%,59,0.60
27,600867.SH,通化东宝,生物制药,主板,9.96,confirmation_needed,stand_aside,mid,25.79,0%,observe,ready,85.80%,66.52%,19.64%,44.4,82.8,29.5,57.2,53.9,57.9,100,81.04%,71.80%,6.23%,60,0.74
28,002937.SZ,兴瑞科技,元器件,主板,30.60,confirmation_needed,stand_aside,mid,25.67,0%,observe,ready,85.90%,63.91%,19.73%,62.0,68.3,22.6,57.2,64.1,56.7,100,61.24%,52.98%,3.60%,63,0.70
29,301196.SZ,唯科科技,专用机械,创业板,111.20,confirmation_needed,stand_aside,mid,25.64,0%,observe,ready,86.00%,68.23%,21.64%,35.7,82.9,28.8,57.2,60.6,55.1,100,52.94%,57.42%,3.34%,63,0.82
30,301081.SZ,严牌股份,环境保护,创业板,15.48,confirmation_needed,watch,mid,25.59,10%,observe,ready,80.30%,64.96%,20.24%,28.9,80.4,31.9,57.2,48.1,55.9,100,87.16%,78.22%,6.98%,57,0.53
31,920438.BJ,戈碧迦,元器件,北交所,42.16,confirmation_needed,stand_aside,mid,25.57,0%,observe,ready,85.30%,66.73%,19.66%,54.2,74.4,20.9,57.2,64.1,56.0,90,52.48%,58.77%,3.31%,62,0.63
32,301053.SZ,远信工业,专用机械,创业板,52.63,confirmation_needed,stand_aside,mid,25.51,0%,observe,ready,81.00%,67.41%,17.46%,33.0,83.6,30.7,57.2,60.6,53.4,100,70.27%,59.17%,4.78%,61,0.66
33,603328.SH,依顿电子,元器件,主板,12.61,defense_first,watch,mid,25.30,10%,observe,ready,80.30%,66.08%,17.33%,47.2,72.8,16.1,57.2,64.1,60.3,87,51.37%,59.30%,3.22%,62,0.64
34,603026.SH,石大胜华,化工原料,主板,85.16,confirmation_needed,stand_aside,mid,25.21,0%,observe,ready,81.00%,68.45%,16.52%,41.9,70.8,31.1,57.2,51.5,55.9,100,80.93%,76.61%,6.54%,67,0.66
35,002329.SZ,皇氏集团,乳制品,主板,4.06,momentum_but_heavy_overhead,stand_aside,mid,25.04,0%,observe,ready,78.00%,67.26%,19.56%,50.9,77.9,20.6,57.2,43.1,57.5,74,40.81%,56.15%,2.26%,59,0.77
36,301509.SZ,金凯生科,化学制药,创业板,43.46,confirmation_needed,stand_aside,mid,24.97,0%,observe,ready,86.00%,63.79%,20.68%,25.8,83.6,33.3,57.2,51.7,54.5,100,67.69%,64.08%,4.67%,65,0.69
37,603966.SH,法兰泰克,专用机械,主板,13.63,confirmation_needed,watch,mid,24.90,10%,observe,candidate,63.30%,65.20%,16.25%,35.1,83.7,20.9,57.2,60.6,58.7,100,85.70%,68.57%,6.39%,59,0.71
38,301308.SZ,江波龙,半导体,创业板,341.30,confirmation_needed,stand_aside,mid,24.87,0%,observe,ready,86.00%,66.63%,22.92%,33.3,79.5,30.7,57.2,66.5,53.9,100,56.09%,53.50%,3.33%,62,0.81
39,603659.SH,璞泰来,化工原料,主板,33.65,defense_first,stand_aside,mid,24.81,0%,observe,ready,86.00%,64.09%,20.41%,26.3,76.8,27.3,57.2,51.5,56.7,100,46.44%,56.65%,2.61%,65,0.76
40,001309.SZ,德明利,半导体,主板,447.24,confirmation_needed,stand_aside,mid,24.81,0%,observe,ready,76.00%,76.24%,10.12%,23.9,82.4,54.4,57.2,66.5,53.9,100,57.36%,58.83%,4.08%,72,0.80
41,002263.SZ,大东南,塑料,主板,4.90,confirmation_needed,stand_aside,mid,24.80,0%,observe,ready,85.20%,66.92%,16.57%,36.4,67.3,31.7,57.2,44.1,53.4,100,81.51%,70.68%,6.23%,75,0.78
42,603203.SH,快克智能,专用机械,主板,43.53,confirmation_needed,watch,mid,24.75,10%,observe,ready,80.30%,66.72%,17.26%,43.8,66.7,18.7,57.2,60.6,55.9,100,55.92%,59.07%,3.60%,62,0.63
43,600015.SH,华夏银行,银行,主板,7.26,defense_first,watch,mid,24.72,10%,first_buy,ready,74.40%,61.33%,15.19%,44.2,67.2,26.8,57.2,46.7,62.0,72,61.31%,44.23%,3.07%,60,0.60
