排名,股票代码,股票名称,行业,市场板块,收盘价,结论标签,动作标签,趋势阶段,执行分,仓位,机会类型,入场分区,入场概率,次日承接,快速失败,Early分,Mid分,Late分,市场分,板块分,基本面分,结构分,10日延续概率,突破成功率,10日预期收益,风险分,模型风险
1,600976.SH,健民集团,中成药,主板,34.30,high_quality_continuation,watch,mid,34.81,10%,trend_follow,ready,86.00%,79.67%,10.46%,60.6,71.4,24.1,39.8,57.4,62.0,100,86.51%,73.86%,7.30%,61,0.58
2,600267.SH,海正药业,化学制药,主板,10.77,confirmation_needed,watch,mid,34.07,10%,observe,ready,86.00%,79.95%,8.52%,67.8,80.2,16.1,39.8,72.0,62.0,100,67.58%,75.76%,5.89%,64,0.56
3,603515.SH,欧普照明,家用电器,主板,19.52,high_quality_continuation,watch,mid,34.05,10%,trend_follow,ready,86.00%,76.18%,8.12%,63.4,81.0,18.7,39.8,48.6,62.0,92,66.22%,67.90%,5.24%,66,0.58
4,688237.SH,超卓航科,航空,科创板,52.78,high_quality_continuation,watch,mid,33.80,10%,trend_follow,ready,85.50%,80.86%,8.05%,60.3,75.8,18.0,39.8,39.6,56.0,100,67.82%,65.47%,5.43%,62,0.59
5,002262.SZ,恩华药业,化学制药,主板,23.10,confirmation_needed,watch,mid,33.51,10%,observe,ready,85.50%,80.26%,7.42%,49.4,57.8,17.2,39.8,72.0,62.0,75,65.15%,72.65%,5.55%,59,0.53
6,600007.SH,中国国贸,园区开发,主板,21.10,defense_first,watch,mid,33.48,10%,trend_follow,ready,85.60%,75.50%,9.42%,64.1,79.4,17.6,39.8,48.9,61.2,72,48.96%,62.43%,3.56%,64,0.57
7,000931.SZ,中关村,化学制药,主板,5.29,confirmation_needed,watch,mid,32.65,10%,observe,ready,86.00%,78.91%,7.83%,76.3,77.1,18.7,39.8,72.0,58.9,91,58.77%,72.13%,4.96%,64,0.55
8,300601.SZ,康泰生物,生物制药,创业板,14.38,confirmation_needed,watch,mid,32.13,10%,observe,ready,81.50%,78.76%,8.09%,60.8,67.5,28.9,39.8,72.0,58.0,63,62.33%,76.23%,5.45%,66,0.43
9,688298.SH,东方生物,医疗保健,科创板,23.37,confirmation_needed,watch,mid,31.58,10%,observe,ready,86.00%,78.22%,9.05%,49.8,56.8,18.0,39.8,56.8,59.6,80,58.12%,48.38%,3.70%,59,0.69
10,300009.SZ,安科生物,生物制药,创业板,9.77,confirmation_needed,watch,mid,31.50,10%,observe,ready,86.00%,79.24%,7.83%,51.2,70.5,25.0,39.8,72.0,60.0,92,64.82%,72.21%,5.47%,64,0.59
11,002793.SZ,罗欣药业,化学制药,主板,5.06,confirmation_needed,watch,mid,31.12,10%,observe,ready,86.00%,80.40%,8.26%,74.2,79.0,22.9,39.8,72.0,59.2,100,65.74%,61.49%,5.05%,69,0.64
12,600872.SH,中炬高新,食品,主板,19.48,confirmation_needed,watch,mid,31.02,10%,observe,ready,86.00%,77.97%,10.26%,62.8,75.9,16.0,39.8,51.4,62.0,91,53.10%,62.24%,3.98%,61,0.61
13,301047.SZ,义翘神州,生物制药,创业板,73.23,confirmation_needed,watch,mid,31.01,10%,observe,ready,86.00%,78.83%,9.06%,49.8,69.8,26.5,39.8,72.0,57.2,85,63.19%,76.00%,5.51%,61,0.56
14,603811.SH,诚意药业,化学制药,主板,12.31,confirmation_needed,stand_aside,mid,30.87,0%,trend_follow,ready,85.70%,75.95%,9.51%,55.1,76.7,25.7,39.8,72.0,60.0,100,60.24%,74.42%,5.08%,73,0.63
15,688443.SH,智翔金泰-U,生物制药,科创板,27.47,confirmation_needed,watch,mid,30.83,10%,observe,ready,86.00%,79.22%,8.42%,52.2,71.6,26.1,39.8,72.0,55.5,95,64.16%,75.61%,5.58%,68,0.60
16,603087.SH,甘李药业,生物制药,主板,65.38,confirmation_needed,watch,transition,30.18,10%,observe,ready,86.00%,79.28%,8.98%,52.1,53.1,28.6,39.8,72.0,56.0,92,66.14%,77.17%,5.82%,63,0.53
17,002332.SZ,仙琚制药,化学制药,主板,9.22,confirmation_needed,watch,mid,30.12,10%,observe,ready,81.00%,78.28%,8.34%,43.5,71.4,26.4,39.8,72.0,62.0,80,62.36%,77.84%,5.51%,57,0.52
18,600380.SH,健康元,化学制药,主板,11.49,confirmation_needed,watch,transition,30.02,10%,observe,ready,86.00%,78.70%,7.63%,49.6,54.5,22.8,39.8,72.0,62.0,84,58.25%,69.78%,4.80%,62,0.57
19,601089.SH,福元医药,化学制药,主板,24.39,confirmation_needed,watch,mid,29.65,10%,observe,ready,86.00%,78.37%,10.22%,50.8,70.8,23.0,39.8,72.0,60.9,91,59.77%,71.34%,4.98%,62,0.56
20,603676.SH,卫信康,化学制药,主板,10.95,confirmation_needed,watch,mid,28.89,10%,observe,candidate,68.80%,80.27%,8.16%,60.8,92.9,25.5,39.8,72.0,60.0,73,66.33%,68.74%,5.45%,63,0.54
21,601083.SH,锦江航运,水运,主板,12.93,confirmation_needed,watch,mid,28.83,10%,observe,ready,86.00%,79.05%,7.72%,49.6,74.9,19.0,39.8,42.8,58.2,100,56.10%,57.52%,4.03%,67,0.71
22,000597.SZ,东北制药,化学制药,主板,5.51,confirmation_needed,watch,mid,28.79,10%,observe,ready,81.00%,78.60%,8.29%,70.9,73.5,27.6,39.8,72.0,60.3,100,64.55%,76.67%,5.64%,65,0.57
23,688167.SH,炬光科技,元器件,科创板,366.00,defense_first,stand_aside,mid,28.68,0%,trend_follow,ready,86.00%,75.37%,12.49%,52.4,71.6,19.7,39.8,46.1,54.7,100,43.58%,61.83%,3.09%,79,0.72
24,688687.SH,凯因科技,生物制药,科创板,21.22,confirmation_needed,watch,mid,28.63,10%,observe,ready,76.60%,78.65%,9.40%,57.0,60.6,37.4,39.8,72.0,62.0,60,64.90%,79.05%,5.79%,67,0.42
25,600276.SH,恒瑞医药,化学制药,主板,57.73,confirmation_needed,watch,early,28.57,10%,observe,ready,81.00%,78.87%,7.98%,58.0,52.5,24.5,39.8,72.0,57.6,97,63.87%,75.62%,5.55%,66,0.58
26,300813.SZ,泰林生物,医疗保健,创业板,30.48,confirmation_needed,stand_aside,mid,28.03,0%,observe,ready,86.00%,68.89%,15.67%,32.2,89.8,29.7,39.8,56.8,52.5,100,78.37%,69.64%,6.01%,65,0.61
27,300725.SZ,药石科技,化学制药,创业板,38.29,confirmation_needed,stand_aside,transition,28.00,0%,observe,ready,85.90%,76.41%,7.63%,49.9,50.5,24.1,39.8,72.0,57.9,82,57.35%,75.91%,4.94%,71,0.59
28,301277.SZ,新天地,化学制药,创业板,12.28,confirmation_needed,stand_aside,mid,27.99,0%,observe,ready,86.00%,69.81%,15.93%,52.8,79.8,19.2,39.8,72.0,58.5,86,62.46%,57.24%,4.15%,66,0.71
29,300404.SZ,博济医药,医疗保健,创业板,10.38,confirmation_needed,watch,mid,27.98,10%,observe,ready,81.00%,78.82%,8.49%,48.2,68.4,27.5,39.8,56.8,55.1,93,60.29%,70.88%,5.02%,64,0.56
30,300485.SZ,赛升药业,生物制药,创业板,11.36,confirmation_needed,watch,mid,27.83,10%,observe,ready,81.00%,79.44%,10.30%,46.4,68.3,33.2,39.8,72.0,55.5,100,67.50%,78.09%,5.98%,67,0.55
31,600812.SH,华北制药,化学制药,主板,5.62,confirmation_needed,watch,mid,27.83,10%,observe,candidate,68.60%,68.28%,15.16%,32.2,88.9,15.9,39.8,72.0,58.9,76,65.17%,64.16%,4.65%,62,0.74
32,300006.SZ,莱美药业,化学制药,创业板,5.16,confirmation_needed,watch,early,27.82,10%,observe,ready,85.50%,67.63%,16.36%,77.2,56.8,16.2,39.8,72.0,58.5,87,56.32%,64.00%,3.91%,65,0.61
33,688401.SH,路维光电,半导体,科创板,50.80,confirmation_needed,stand_aside,transition,27.70,0%,first_buy,ready,82.00%,67.55%,18.41%,41.8,63.1,18.1,39.8,46.0,52.7,59,60.03%,51.12%,3.56%,65,0.78
34,003020.SZ,立方制药,化学制药,主板,25.46,confirmation_needed,watch,transition,27.68,10%,observe,ready,81.00%,80.17%,8.08%,46.8,52.6,28.5,39.8,72.0,60.5,97,66.68%,74.31%,5.76%,65,0.58
35,002840.SZ,华统股份,食品,主板,11.10,confirmation_needed,stand_aside,mid,27.66,0%,observe,ready,85.20%,67.66%,16.20%,32.5,86.1,26.4,39.8,51.4,57.1,100,89.05%,75.79%,7.12%,64,0.59
36,000078.SZ,海王生物,医药商业,主板,3.45,confirmation_needed,watch,transition,27.46,10%,observe,ready,80.30%,79.11%,7.97%,48.7,50.7,25.1,39.8,57.3,57.5,99,64.69%,70.50%,5.36%,67,0.57
