排名,股票代码,股票名称,行业,市场板块,收盘价,结论标签,机会类型,入场分区,入场概率,次日承接,快速失败,结构分,10日延续概率,突破成功率,10日预期收益,风险分,模型风险
1,300502.SZ,新易盛,通信设备,创业板,458.38,confirmation_needed,observe,ready,98.87%,55.99%,9.69%,100,73.34%,0.34%,10.36%,70,0.43
2,300751.SZ,迈为股份,专用机械,创业板,230.53,confirmation_needed,observe,ready,94.27%,59.76%,40.10%,0,80.43%,0.38%,10.30%,99,0.49
3,603530.SH,神马电力,电气设备,主板,57.81,confirmation_needed,observe,ready,93.86%,78.42%,18.79%,13,76.59%,0.35%,18.06%,74,0.44
4,603688.SH,石英股份,矿物制品,主板,42.06,confirmation_needed,observe,ready,87.82%,20.74%,17.61%,8,72.90%,0.81%,17.53%,72,0.35
5,688012.SH,中微公司,半导体,科创板,316.74,confirmation_needed,observe,ready,87.58%,90.78%,28.11%,27,83.05%,0.42%,8.02%,71,0.49
6,002916.SZ,深南电路,元器件,主板,225.58,confirmation_needed,observe,ready,86.77%,86.84%,2.66%,5,65.26%,0.06%,8.47%,91,0.38
7,688200.SH,华峰测控,半导体,科创板,282.97,confirmation_needed,first_buy,ready,85.82%,33.87%,38.31%,46,76.16%,8.30%,9.74%,77,0.50
8,688097.SH,博众精工,专用机械,科创板,54.04,confirmation_needed,observe,ready,85.51%,54.34%,41.00%,71,71.05%,0.18%,17.69%,61,0.44
9,603312.SH,西典新能,电气设备,主板,40.17,confirmation_needed,observe,ready,85.24%,53.66%,39.28%,0,80.35%,0.07%,11.58%,99,0.40
10,002056.SZ,横店东磁,电气设备,主板,19.76,confirmation_needed,observe,ready,84.01%,42.58%,26.66%,0,74.34%,0.03%,2.77%,86,0.25
11,300488.SZ,恒锋工具,机械基件,创业板,27.57,confirmation_needed,observe,ready,82.17%,58.85%,15.74%,3,80.74%,2.94%,8.80%,89,0.36
12,002371.SZ,北方华创,半导体,主板,468.84,confirmation_needed,observe,ready,81.12%,87.34%,23.99%,82,79.51%,0.43%,7.18%,56,0.42
13,000988.SZ,华工科技,专用机械,主板,106.95,confirmation_needed,observe,ready,78.51%,72.46%,15.38%,92,71.54%,0.62%,18.14%,68,0.49
14,001328.SZ,登康口腔,日用化工,主板,32.00,confirmation_needed,observe,ready,78.08%,69.11%,17.33%,0,69.69%,0.05%,9.85%,83,0.39
15,605183.SH,确成股份,化工原料,主板,18.90,confirmation_needed,observe,ready,77.56%,61.59%,23.88%,0,71.56%,0.11%,-0.19%,88,0.36
16,600509.SH,天富能源,火力发电,主板,8.44,confirmation_needed,observe,ready,77.55%,41.55%,44.95%,19,60.40%,0.11%,0.61%,86,0.33
