排名,股票代码,股票名称,行业,市场板块,收盘价,综合排名分,结论标签,结构分,10日延续概率,突破成功率,10日预期收益,风险分,模型风险
54,002840.SZ,华统股份,食品,主板,11.41,107.43,high_quality_continuation,100,64.43%,62.65%,3.79%,57,0.55
55,002393.SZ,力生制药,化学制药,主板,24.02,107.26,high_quality_continuation,100,68.26%,72.67%,4.59%,61,0.63
56,301216.SZ,万凯新材,化工原料,创业板,27.00,107.12,confirmation_needed,100,74.12%,72.00%,5.03%,67,0.71
57,600537.SH,亿晶光电,电气设备,主板,3.82,106.82,high_quality_continuation,100,67.82%,55.37%,3.69%,61,0.58
58,301186.SZ,超达装备,专用机械,创业板,56.08,106.67,high_quality_continuation,100,64.67%,59.60%,3.65%,58,0.62
59,300867.SZ,圣元环保,环境保护,创业板,20.64,106.53,high_quality_continuation,95,78.53%,73.32%,5.45%,67,0.58
60,300895.SZ,铜牛信息,软件服务,创业板,69.10,105.99,high_quality_continuation,100,79.99%,76.67%,5.73%,74,0.63
61,688314.SH,康拓医疗,医疗保健,科创板,55.00,105.99,high_quality_continuation,100,64.99%,56.33%,3.52%,59,0.66
62,300763.SZ,锦浪科技,电气设备,创业板,102.72,105.76,high_quality_continuation,96,76.76%,63.53%,4.82%,67,0.65
63,300042.SZ,朗科科技,IT设备,创业板,44.26,105.21,high_quality_continuation,100,80.21%,66.33%,5.23%,75,0.66
64,301419.SZ,阿莱德,通信设备,创业板,41.37,104.94,high_quality_continuation,100,76.94%,70.75%,5.19%,72,0.63
65,603929.SH,亚翔集成,装修装饰,主板,187.41,104.71,defense_first,100,83.71%,74.67%,5.93%,79,0.47
66,300502.SZ,新易盛,通信设备,创业板,458.38,104.63,confirmation_needed,100,74.63%,57.72%,4.36%,70,0.64
67,300158.SZ,振东制药,化学制药,创业板,6.20,104.54,high_quality_continuation,99,64.54%,57.83%,3.55%,59,0.54
68,605299.SH,舒华体育,文教休闲,主板,19.39,104.34,high_quality_continuation,100,73.34%,65.07%,4.62%,69,0.69
69,300980.SZ,祥源新材,塑料,创业板,38.40,104.03,high_quality_continuation,100,68.03%,62.38%,4.06%,64,0.55
70,600719.SH,大连热电,供气供热,主板,7.12,103.81,high_quality_continuation,95,69.81%,72.33%,4.70%,61,0.67
71,600815.SH,厦工股份,工程机械,主板,4.26,103.73,high_quality_continuation,100,64.73%,62.92%,3.82%,61,0.63
72,603687.SH,大胜达,广告包装,主板,16.12,103.23,high_quality_continuation,100,68.23%,69.22%,4.42%,65,0.58
73,000428.SZ,华天酒店,酒店餐饮,主板,4.00,102.62,defense_first,96,63.62%,64.33%,3.81%,57,0.52
74,300483.SZ,首华燃气,石油开采,创业板,21.98,102.49,high_quality_continuation,95,74.49%,82.33%,5.58%,67,0.52
75,002686.SZ,亿利达,专用机械,主板,7.89,102.48,high_quality_continuation,100,66.48%,72.67%,4.45%,64,0.67
76,300565.SZ,科信技术,通信设备,创业板,14.29,102.28,high_quality_continuation,94,68.28%,56.81%,3.80%,60,0.62
77,002229.SZ,鸿博股份,广告包装,主板,18.35,101.82,confirmation_needed,98,64.82%,51.44%,3.26%,61,0.64
